# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.002320            0.054924            0.001722            0.005770            
  0.002564            0.057667            0.001538            0.004841            
  0.002809            0.061094            0.001597            0.006665            
  0.003052            0.065183            0.002248            0.004041            
  0.003297            0.068362            0.002077            0.006270            
  0.003542            0.070804            0.002704            0.008600            
  0.003788            0.073695            0.001791            0.013096            
  0.004032            0.077035            0.002759            0.013309            
  0.004274            0.080186            0.001919            0.007996            
  0.004518            0.082386            0.002006            0.008944            
  0.004762            0.086589            0.002960            0.009829            
  0.005008            0.090274            0.002993            0.014692            

# Order j             0.611 +- 0.006      0.864 +- 0.116      1.152 +- 0.193      
# Factor K            2.253 +- 0.082      0.277 +- 0.181      5.575 +- 5.999      

  0.000366            0.017434            0.000342            0.001058            
  0.000610            0.025019            0.000431            0.000921            
  0.000855            0.030774            0.000919            0.002674            
  0.001099            0.035820            0.001067            0.002926            
  0.001343            0.040258            0.001261            0.002180            
  0.001587            0.044165            0.001171            0.003447            
  0.001832            0.048063            0.001202            0.003885            
  0.002076            0.052125            0.001334            0.005902            
  0.002320            0.055227            0.001830            0.005586            
